entry_id,beacon_id,in_time,out_time,rpi_id
33457,93,2016-09-22 12:24:35,2016-09-22 12:24:41,rpi-06
33458,93,2016-09-22 12:27:03,2016-09-22 12:27:03,rpi-21
33459,93,2016-09-22 12:27:30,2016-09-22 12:27:30,rpi-21
33460,93,2016-09-22 12:26:59,2016-09-22 12:27:45,rpi-06
33461,93,2016-09-22 12:30:18,2016-09-22 12:30:20,rpi-06
33462,93,2016-09-22 12:28:22,2016-09-22 12:30:31,rpi-21
33463,93,2016-09-22 12:30:49,2016-09-22 12:30:49,rpi-06
33464,93,2016-09-22 12:31:02,2016-09-22 12:31:02,rpi-21
33465,93,2016-09-22 12:31:39,2016-09-22 12:32:02,rpi-06
33466,93,2016-09-22 12:31:40,2016-09-22 12:32:15,rpi-21
33467,93,2016-09-22 12:32:59,2016-09-22 12:32:59,rpi-06
33468,93,2016-09-22 12:33:40,2016-09-22 12:33:44,rpi-06
33469,93,2016-09-22 12:34:13,2016-09-22 12:34:16,rpi-06
33470,93,2016-09-22 12:33:06,2016-09-22 12:35:28,rpi-21
33471,93,2016-09-22 12:36:07,2016-09-22 12:36:11,rpi-21
33472,93,2016-09-22 12:35:05,2016-09-22 12:36:38,rpi-06
33473,93,2016-09-22 12:37:44,2016-09-22 12:38:09,rpi-06
33474,93,2016-09-22 12:36:37,2016-09-22 12:38:21,rpi-21
33475,93,2016-09-22 12:39:48,2016-09-22 12:39:48,rpi-21
33476,93,2016-09-22 12:39:29,2016-09-22 12:40:27,rpi-06
33477,93,2016-09-22 12:14:55,2016-09-22 12:40:55,rpi-03
33478,92,2016-09-22 12:42:13,2016-09-22 12:42:13,rpi-17
33479,92,2016-09-22 12:42:12,2016-09-22 12:42:13,rpi-18
33480,92,2016-09-22 12:41:50,2016-09-22 12:42:10,rpi-01
33481,92,2016-09-22 12:41:48,2016-09-22 12:42:12,rpi-00
33482,92,2016-09-22 12:42:13,2016-09-22 12:42:22,rpi-19
33483,92,2016-09-22 12:41:47,2016-09-22 12:42:25,rpi-02
33484,92,2016-09-22 12:41:46,2016-09-22 12:42:39,rpi-04
33485,92,2016-09-22 12:41:47,2016-09-22 12:42:36,rpi-21
33486,92,2016-09-22 12:42:05,2016-09-22 12:42:44,rpi-03
33487,92,2016-09-22 12:42:43,2016-09-22 12:42:49,rpi-18
